id_caso,id,negocio,notas,servicio,fecha_estado_negocio,dia,mes,ano,responsable,estado,evento,fecha_inicio_evento,dia_inicio_evento,mes_inicio_evento,ano_inicio_evento,fecha_fin_evento,estado_evento,fecha_inicio,estado_negocio,fecha_entrega_auxiliar
153671962,1718,859442364,,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-10-15 16:38:05.005431-05,15,10,2025,NATHALIA GIRLESA RESTREPO GOMEZ,AUDIENCIA,CONTANCIA DE NO REALIZACION AUDIENCIA POR INASISTENCIA,2025-12-18 13:14:45.459546-05,18,12,2025,,Finalizada,2025-10-15 13:32:55.377376,Proceso Vigente,
153681966,1718,859452410,Se expide acuerdo conciliatorio,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-18 15:58:39.774531-05,18,11,2025,GUSTAVO ADOLFO SALAZAR GARCIA,AUDIENCIA,ACUERDO CONCILIATORIO,2025-12-18 12:08:57.216722-05,18,12,2025,,Finalizada,2025-11-18 12:30:22.889445,Proceso Vigente,
153689148,1718,859459613,,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-12-15 17:05:07.897066-05,15,12,2025,ANDREA  ESCUDERO ALVAREZ,ESTUDIO,CITACION,2025-12-18 12:07:34.78383-05,18,12,2025,,Finalizada,2025-12-15 09:14:09.725,Proceso Vigente,
153684009,1718,859454496,PIE DE PAGINA,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-25 16:40:09.1775-05,25,11,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,PIE DE PAGINA,2025-12-18 11:57:29.027779-05,18,12,2025,2025-12-18 11:57:57.957649-05,Finalizada,2025-11-25 11:08:00.796661,Proceso Vigente,2025-12-18 11:57:57.957649-05
153684009,1718,859454496,CUMPLE REQUISITOS,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-25 16:40:09.1775-05,25,11,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,VERIFICACION CUMPLIMIENTO REQUISITOS FORMALES,2025-12-18 11:56:30.634849-05,18,12,2025,2025-12-18 11:57:02.002898-05,Finalizada,2025-11-25 11:08:00.796661,Proceso Vigente,2025-12-18 11:57:02.002898-05
153684009,1718,859454496,REGISTRO: 11786,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-25 16:40:09.1775-05,25,11,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,REGISTRO ACTA DE CONCILIACION,2025-12-18 11:54:07.907883-05,18,12,2025,2025-12-18 11:54:17.853087-05,Finalizada,2025-11-25 11:08:00.796661,Proceso Vigente,2025-12-18 11:54:17.853087-05
153686738,1718,859457190,Audiencia para el día 28 de diciembre de 2025 a las 02:00 pm,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-12-04 13:42:12.271196-05,4,12,2025,NATHALIA GIRLESA RESTREPO GOMEZ,ESTUDIO,CITACION,2025-12-18 11:51:00.583305-05,18,12,2025,,Finalizada,2025-12-03 08:42:29.675802,Proceso Vigente,
153689692,1718,859460147,,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-12-16 16:22:34.534476-05,16,12,2025,ANDREA  ESCUDERO ALVAREZ,ESTUDIO,CITACION,2025-12-18 11:44:14.208464-05,18,12,2025,,Finalizada,2025-12-16 10:04:21.473083,Proceso Vigente,
153684286,1718,859454755,REGISTRO: 37498,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-26 16:27:58.042334-05,26,11,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,INSCRIPCION DE LA CONTRANCIA,2025-12-18 11:35:44.919751-05,18,12,2025,2025-12-18 11:35:49.48324-05,Finalizada,2025-11-25 17:15:05.169909,Proceso Vigente,2025-12-18 11:35:49.48324-05
153683209,1718,859453650,REGISTRO: 37497,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-21 13:56:02.895199-05,21,11,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,INSCRIPCION DE LA CONTRANCIA,2025-12-18 11:32:19.045555-05,18,12,2025,2025-12-18 11:32:24.430498-05,Finalizada,2025-11-21 07:29:32.231199,Proceso Vigente,2025-12-18 11:32:24.430498-05
153686764,1718,859457229,Audiencia para el día 28 de enero de 2026 a las 08:00 am.,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-12-04 14:17:53.567518-05,4,12,2025,NATHALIA GIRLESA RESTREPO GOMEZ,ESTUDIO,CITACION,2025-12-18 11:32:08.586434-05,18,12,2025,,Finalizada,2025-12-03 09:32:09.165907,Proceso Vigente,
153688543,1718,859458988,REGISTRO: 37496,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-12-11 17:01:52.633145-05,11,12,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,INSCRIPCION DE LA CONTRANCIA,2025-12-18 11:28:16.742943-05,18,12,2025,2025-12-18 11:28:24.270077-05,Finalizada,2025-12-10 22:08:55.165872,Proceso Vigente,2025-12-18 11:28:24.270077-05
153668556,1718,859438941,REGISTRO: 37495,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-10-03 15:57:29.064445-05,3,10,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,INSCRIPCION DE LA CONTRANCIA,2025-12-18 11:25:55.904208-05,18,12,2025,,En Trámite,2025-10-03 13:31:39.912513,Proceso Vigente,
153679551,1718,859449990,REGISTRO: 37494,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-11 15:55:03.271807-05,11,11,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,INSCRIPCION DE LA CONTRANCIA,2025-12-18 11:20:44.212803-05,18,12,2025,2025-12-18 11:20:50.334862-05,Finalizada,2025-11-10 14:49:40.354672,Proceso Vigente,2025-12-18 11:20:50.334862-05
153682415,1718,859452881,REGISTRO: 37493,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-19 14:56:39.986217-05,19,11,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,INSCRIPCION DE LA CONTRANCIA,2025-12-18 11:17:45.659949-05,18,12,2025,2025-12-18 11:17:59.883947-05,Finalizada,2025-11-19 11:47:43.939433,Proceso Vigente,2025-12-18 11:17:59.883947-05
153679846,1718,859450256,NO ASISTE EL CONVOCADO,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-12 10:56:02.684921-05,12,11,2025,NORMA  VALLEJO LOPEZ,AUDIENCIA,ACTA NO REALIZACIÓN AUDIENCIA POR INASISTENCIA,2025-12-18 11:17:23.567002-05,18,12,2025,2025-12-18 11:17:31.925373-05,Finalizada,2025-11-11 08:53:06.933655,Proceso Vigente,2025-12-18 11:17:31.925373-05
153686255,1718,859456694,REGISTRO: 37492,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-12-02 17:12:03.63373-05,2,12,2025,DERLY MILENA CASTAÑO  FRANCO  ,REGISTRO,INSCRIPCION DE LA CONTRANCIA,2025-12-18 11:12:34.232407-05,18,12,2025,2025-12-18 11:13:00.659338-05,Finalizada,2025-12-02 06:39:18.427838,Proceso Vigente,2025-12-18 11:13:00.659338-05
153682931,1718,859453378,,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-20 14:31:49.342977-05,20,11,2025,NATHALIA GIRLESA RESTREPO GOMEZ,AUDIENCIA,ACUERDO CONCILIATORIO,2025-12-18 11:01:20.799697-05,18,12,2025,,Finalizada,2025-11-20 12:02:00.825508,Proceso Vigente,
153684286,1718,859454755,NO ACUERDO,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-26 16:27:58.042334-05,26,11,2025,MARTHA CECILIA RODRIGUEZ SANCHEZ,AUDIENCIA,NO ACUERDO CONCILIATORIO,2025-12-18 10:49:45.964223-05,18,12,2025,,Finalizada,2025-11-25 17:15:05.169909,Proceso Vigente,
153685824,1718,859456265,Se levanta acta de conciliación,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-12-01 14:35:03.395947-05,1,12,2025,LUISA MARIA ALARCON BETANCUR,AUDIENCIA,ACUERDO CONCILIATORIO,2025-12-18 10:25:16.320804-05,18,12,2025,,Finalizada,2025-12-01 07:57:29.113211,Proceso Vigente,
153651303,1718,859421546,"Se realiza ajuste a documento de solicitud de restitución de inmueble por incumplimiento de Conciliación, expedido por el Juzgado Veinticuatro Civil Municipal de Oralidad de Medellín",CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-10-06 14:32:18.946362-05,6,10,2025,GUSTAVO ADOLFO SALAZAR GARCIA,AUDIENCIA,RECEPCION DE DOCUMENTOS,2025-12-18 10:04:14.33148-05,18,12,2025,,Finalizada,2025-08-14 16:12:13.566476,Proceso Archivado,
153651303,1718,859421546,"Se recibe copia de auto que inadmite solicitud de restitución de inmueble por incumplimiento de Conciliación, expedido por el Juzgado Veinticuatro Civil Municipal de Oralidad de Medellín",CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-10-06 14:32:18.946362-05,6,10,2025,GUSTAVO ADOLFO SALAZAR GARCIA,AUDIENCIA,RECEPCION DE DOCUMENTOS,2025-12-18 10:02:26.349477-05,18,12,2025,,Finalizada,2025-08-14 16:12:13.566476,Proceso Archivado,
153651303,1718,859421546,Se emite respuesta a solicitud de restitución de inmueble por incumplimiento de acuerdo conciliatorio,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-10-06 14:32:18.946362-05,6,10,2025,GUSTAVO ADOLFO SALAZAR GARCIA,AUDIENCIA,RECEPCION DE DOCUMENTOS,2025-12-18 09:57:01.0288-05,18,12,2025,,Finalizada,2025-08-14 16:12:13.566476,Proceso Archivado,
153679307,1718,859449672,"No se presentan en el termino de los tres días, ninguna de las dos partes. ",CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-10 16:32:42.675131-05,10,11,2025,ANDREA  ESCUDERO ALVAREZ,AUDIENCIA,CONTANCIA DE NO REALIZACION AUDIENCIA POR INASISTENCIA,2025-12-18 09:39:01.5151-05,18,12,2025,,Finalizada,2025-11-10 09:20:42.666853,Proceso Vigente,
153667816,1718,859438158,Se recibe sustitución de poder,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-10-02 16:10:25.127557-05,2,10,2025,GUSTAVO ADOLFO SALAZAR GARCIA,AUDIENCIA,RECEPCION DE DOCUMENTOS,2025-12-18 09:25:46.971187-05,18,12,2025,,Finalizada,2025-10-02 06:50:00.543116,Proceso Vigente,
153684009,1718,859454496,ACUERDO,CONCILIACION EXTRAJUDICIAL EN DERECHO,2025-11-25 16:40:09.1775-05,25,11,2025,MARTHA CECILIA RODRIGUEZ SANCHEZ,AUDIENCIA,ACUERDO CONCILIATORIO,2025-12-18 09:23:41.335577-05,18,12,2025,,Finalizada,2025-11-25 11:08:00.796661,Proceso Vigente,
